EmployeeID,FullName,Position,Salary,StartDate
1,Bob Smith,Manager,,2018-04-25
2,David Lee,HR,46742.0,2022-04-25
3,Charlie Brown,Manager,74296.0,2017-10-02
4,Bob Smith,Designer,97731.0,2017-08-01
5,Bob Smith,Manager,77705.0,2015-02-01
6,Bob Smith,HR,35014.0,2016-06-25
7,Charlie Brown,Sales,95883.0,2021-04-10
8,Alice Johnson,Sales,63456.0,2017-05-01
9,Bob Smith,Sales,103583.0,2020-02-05
10,David Lee,Manager,107322.0,2021-05-20
11,Charlie Brown,Developer,80686.0,2017-08-22
12,David Lee,Designer,76941.0,2016-07-09
13,David Lee,Designer,111356.0,2021-07-13
14,Bob Smith,Developer,89554.0,2022-09-08
15,Charlie Brown,Developer,36234.0,2022-12-06
16,Alice Johnson,Designer,70217.0,2016-06-01
17,Alice Johnson,HR,44372.0,2021-08-20
18,Bob Smith,Designer,93113.0,2018-09-10
19,David Lee,Sales,93570.0,2021-01-29
20,Charlie Brown,Sales,58195.0,2015-12-12
21,Charlie Brown,Manager,100287.0,2021-05-29
22,Alice Johnson,Sales,113711.0,2018-06-23
23,Alice Johnson,Designer,43979.0,2019-07-08
24,Bob Smith,Developer,87593.0,2022-05-30
25,Alice Johnson,Developer,113309.0,2021-07-26
26,Charlie Brown,Manager,101912.0,2022-02-11
27,David Lee,Manager,51157.0,2022-09-06
28,David Lee,Developer,90056.0,2015-03-31
29,Eva Green,Designer,59225.0,2016-05-22
30,Bob Smith,Designer,111880.0,2021-01-19
31,Bob Smith,HR,78892.0,2017-05-10
32,Eva Green,Sales,103958.0,2021-03-09
33,Charlie Brown,Designer,110855.0,2015-12-05
34,Eva Green,Designer,102897.0,2017-09-22
35,David Lee,HR,105443.0,2020-08-30
36,Bob Smith,Developer,84492.0,2021-07-15
37,Alice Johnson,HR,64507.0,2017-08-11
38,Eva Green,Designer,38093.0,2022-05-02
39,Bob Smith,Developer,109310.0,2019-09-26
40,Eva Green,HR,99416.0,2021-10-31
41,Alice Johnson,Designer,71891.0,2021-03-12
42,Charlie Brown,Developer,88859.0,2019-09-04
43,Bob Smith,Sales,68199.0,2017-07-03
44,Charlie Brown,Manager,117035.0,2020-10-31
45,Eva Green,Manager,61082.0,2020-10-11
46,Bob Smith,Sales,74783.0,2016-02-19
47,David Lee,Designer,103324.0,2017-12-22
48,Bob Smith,Designer,106797.0,2018-10-03
49,David Lee,HR,67778.0,2022-12-27
50,Bob Smith,HR,47806.0,2018-01-02
51,Charlie Brown,Designer,42979.0,2020-09-24
52,Eva Green,HR,63201.0,2018-05-17
53,Charlie Brown,Designer,74719.0,2018-05-08
54,Alice Johnson,Developer,47676.0,2017-04-21
55,Charlie Brown,Developer,51483.0,2022-11-04
56,David Lee,HR,63104.0,2022-02-18
57,Bob Smith,Developer,118338.0,2015-01-05
58,Charlie Brown,Developer,83171.0,2022-10-29
59,David Lee,Developer,113049.0,2016-08-15
60,David Lee,HR,75519.0,2022-04-04
61,Eva Green,Designer,82737.0,2015-03-27
62,Alice Johnson,Designer,64677.0,2022-02-03
63,David Lee,Manager,64663.0,2017-05-27
64,Charlie Brown,Developer,53769.0,2019-07-10
65,Bob Smith,Developer,101012.0,2015-11-02
66,Alice Johnson,Sales,103515.0,2015-02-24
67,Eva Green,Sales,68093.0,2016-08-30
68,David Lee,HR,47208.0,2016-04-23
69,Eva Green,Manager,99506.0,2019-04-27
70,Charlie Brown,Manager,103630.0,2019-07-03
71,David Lee,Developer,88461.0,2017-06-04
72,Eva Green,Manager,61394.0,2022-08-30
73,David Lee,Designer,113731.0,2019-03-23
74,Charlie Brown,Designer,85640.0,2018-02-19
75,David Lee,Developer,101520.0,2018-05-13
76,Bob Smith,Sales,64026.0,2017-02-09
77,David Lee,HR,90600.0,2020-08-06
78,Eva Green,HR,75761.0,2017-07-09
79,Charlie Brown,Developer,103417.0,2018-09-04
80,Bob Smith,Designer,53932.0,2021-04-24
81,Eva Green,Manager,58372.0,2017-01-17
82,Eva Green,Designer,115383.0,2020-01-11
83,Eva Green,Developer,81146.0,2015-09-24
84,David Lee,HR,48736.0,2022-04-11
85,Alice Johnson,Developer,112914.0,2022-04-13
86,Bob Smith,Manager,90431.0,2020-05-19
87,Bob Smith,HR,35066.0,2016-03-16
88,Bob Smith,Manager,101553.0,2018-07-20
89,David Lee,Designer,45298.0,2016-07-19
90,Alice Johnson,Manager,97402.0,2015-05-16
91,Charlie Brown,Sales,84207.0,2021-09-20
92,Charlie Brown,Developer,116862.0,2020-08-13
93,Charlie Brown,HR,77828.0,2017-12-27
94,David Lee,Developer,117824.0,2022-07-20
95,Bob Smith,Manager,54397.0,2019-04-20
96,David Lee,Designer,113315.0,2022-10-25
97,Eva Green,Sales,73140.0,2022-10-13
98,Alice Johnson,HR,100970.0,2020-03-25
99,Bob Smith,Manager,54200.0,2020-07-18
100,Charlie Brown,Manager,35648.0,2017-11-03
101,David Lee,Designer,88386.0,2019-02-18
102,Charlie Brown,Manager,90129.0,2016-01-28
103,Bob Smith,HR,58839.0,2018-10-16
104,Charlie Brown,Developer,68879.0,2018-03-13
105,Charlie Brown,Designer,38353.0,2018-09-05
106,Eva Green,Designer,54810.0,2017-08-12
107,Eva Green,Manager,84311.0,2019-12-06
108,Eva Green,Sales,57777.0,2016-11-21
109,Alice Johnson,Designer,112891.0,2018-11-05
110,Alice Johnson,Designer,104549.0,2022-07-13
111,Bob Smith,Sales,87820.0,2019-08-29
112,David Lee,HR,51743.0,2018-07-14
113,Bob Smith,HR,58680.0,2018-10-01
114,Charlie Brown,HR,47612.0,2016-11-10
115,Eva Green,Designer,62079.0,2020-04-27
116,Charlie Brown,Developer,87140.0,2019-10-17
117,David Lee,HR,90959.0,2020-01-07
118,Charlie Brown,HR,85637.0,2015-10-27
119,Bob Smith,Manager,79930.0,2021-08-19
120,Eva Green,Sales,104948.0,2015-08-02
121,David Lee,Manager,57711.0,2021-01-10
122,David Lee,HR,84967.0,2018-08-05
123,Eva Green,Designer,55072.0,2018-01-12
124,Alice Johnson,Manager,83554.0,2017-08-17
125,Alice Johnson,Manager,116654.0,2015-02-16
126,Bob Smith,Developer,68961.0,2016-01-28
127,Bob Smith,Sales,113230.0,2019-05-31
128,Eva Green,Sales,70694.0,2017-07-10
129,Bob Smith,HR,54987.0,2018-05-17
130,Eva Green,Sales,71533.0,2020-05-04
131,David Lee,Designer,112276.0,2015-02-12
132,Alice Johnson,Sales,104241.0,2018-08-10
133,David Lee,Designer,117222.0,2017-08-11
134,Bob Smith,Developer,49150.0,2015-06-03
135,David Lee,Developer,118049.0,2019-05-13
136,Alice Johnson,Designer,107024.0,2016-09-28
137,Alice Johnson,Sales,43255.0,2015-11-22
138,Charlie Brown,Designer,102135.0,2016-12-14
139,David Lee,Sales,51577.0,2021-03-07
140,Charlie Brown,Designer,117144.0,2020-09-28
141,David Lee,Developer,76420.0,2020-04-07
142,Alice Johnson,Developer,112195.0,2019-12-05
143,Bob Smith,Manager,62937.0,2017-03-14
144,David Lee,Manager,70048.0,2019-01-26
145,Eva Green,HR,108510.0,2015-04-18
146,Bob Smith,HR,63438.0,2016-05-23
147,David Lee,Sales,36536.0,2020-04-14
148,Charlie Brown,Developer,46658.0,2018-01-01
149,Charlie Brown,Developer,95730.0,2016-10-29
150,Charlie Brown,Manager,96344.0,2021-06-28
151,Charlie Brown,Designer,99204.0,2015-02-26
152,Charlie Brown,Developer,118806.0,2022-02-04
153,David Lee,Designer,67091.0,2020-05-10
154,David Lee,Developer,35057.0,2020-10-21
155,Bob Smith,Manager,85395.0,2016-04-04
156,Charlie Brown,Developer,104710.0,2015-07-25
157,Alice Johnson,Developer,112638.0,2017-08-28
158,Alice Johnson,HR,87175.0,2016-10-06
159,Charlie Brown,HR,76220.0,2020-03-27
160,Bob Smith,Developer,112884.0,2017-04-27
161,Charlie Brown,Designer,72757.0,2022-01-14
162,Charlie Brown,Sales,50669.0,2015-06-13
163,Bob Smith,Developer,35150.0,2018-08-25
164,Bob Smith,Manager,90441.0,2020-03-13
165,Bob Smith,Developer,38003.0,2018-12-18
166,Alice Johnson,HR,68173.0,2022-08-05
167,David Lee,HR,52517.0,2021-08-16
168,Bob Smith,Designer,42769.0,2018-05-31
169,Charlie Brown,HR,53628.0,2019-01-30
170,Alice Johnson,Designer,44744.0,2016-05-04
171,Eva Green,HR,78913.0,2017-09-20
172,Alice Johnson,Manager,108551.0,2017-02-06
173,Alice Johnson,Manager,115424.0,2022-11-01
174,Eva Green,Sales,114167.0,2016-05-09
175,Eva Green,Designer,43061.0,2022-12-17
176,Charlie Brown,Developer,58416.0,2016-11-26
177,Eva Green,Designer,66019.0,2016-02-29
178,David Lee,Sales,109023.0,2016-05-17
179,Alice Johnson,Sales,45409.0,2021-06-13
180,Charlie Brown,Sales,104343.0,2021-05-09
181,Eva Green,HR,41136.0,2019-03-04
182,Charlie Brown,Designer,68076.0,2017-11-12
183,Eva Green,Manager,51744.0,2016-06-10
184,Charlie Brown,Designer,81506.0,2018-07-02
185,Bob Smith,HR,44841.0,2015-06-22
186,Bob Smith,Sales,43055.0,2020-11-15
187,Bob Smith,Sales,67320.0,2015-12-23
188,Bob Smith,Developer,67153.0,2017-05-21
189,David Lee,HR,70554.0,2022-04-22
190,Eva Green,HR,101477.0,2016-04-29
191,David Lee,HR,51238.0,2018-04-01
192,Bob Smith,HR,103148.0,2020-07-12
193,Bob Smith,Designer,45280.0,2017-06-11
194,Bob Smith,HR,87769.0,2017-10-30
195,Alice Johnson,Developer,118846.0,2021-06-14
196,Bob Smith,Manager,64907.0,2021-04-25
197,Eva Green,Designer,91930.0,2019-08-05
198,Bob Smith,HR,99031.0,2022-10-20
199,David Lee,Developer,70026.0,2019-03-29
200,Bob Smith,Manager,39207.0,2016-06-08
201,Bob Smith,Sales,,2016-04-12
202,Bob Smith,Sales,78655.0,2022-03-09
203,David Lee,Designer,49993.0,2019-10-01
204,Charlie Brown,Designer,38239.0,2018-08-01
205,Eva Green,HR,79643.0,2021-12-22
206,Charlie Brown,Developer,92305.0,2018-01-29
207,Alice Johnson,Developer,70733.0,2016-05-01
208,David Lee,Sales,51639.0,2015-06-16
209,Bob Smith,HR,98905.0,2016-04-21
210,Alice Johnson,Manager,77517.0,2019-07-15
211,Eva Green,HR,93434.0,2022-02-08
212,Charlie Brown,HR,96456.0,2021-03-02
213,Charlie Brown,Designer,67177.0,2020-10-08
214,Bob Smith,Developer,62312.0,2017-06-02
215,Charlie Brown,Sales,71659.0,2018-07-16
216,Charlie Brown,Sales,51825.0,2018-12-05
217,David Lee,Designer,116282.0,2022-02-01
218,Charlie Brown,HR,39294.0,2016-04-21
219,Charlie Brown,Designer,41623.0,2016-07-28
220,Charlie Brown,Developer,84844.0,2020-01-01
221,Eva Green,Manager,50156.0,2022-03-17
222,David Lee,Manager,48994.0,2016-09-11
223,Charlie Brown,Developer,92317.0,2021-03-12
224,Charlie Brown,Developer,65337.0,2016-12-08
225,Alice Johnson,Developer,55656.0,2017-06-26
226,Alice Johnson,Developer,78699.0,2018-07-11
227,Eva Green,Manager,82148.0,2022-09-17
228,Alice Johnson,Sales,116042.0,2017-12-10
229,Charlie Brown,Manager,38942.0,2017-06-11
230,Bob Smith,Manager,78848.0,2017-03-24
231,Alice Johnson,Developer,41233.0,2020-11-02
232,Charlie Brown,HR,45425.0,2020-03-26
233,Alice Johnson,Manager,37793.0,2020-04-26
234,Alice Johnson,Designer,54050.0,2015-03-31
235,Eva Green,Designer,59279.0,2022-12-06
236,Charlie Brown,Manager,36579.0,2015-09-05
237,Charlie Brown,Sales,83199.0,2017-07-24
238,David Lee,Sales,101260.0,2021-07-25
239,Bob Smith,Designer,95501.0,2020-11-03
240,Charlie Brown,Designer,50698.0,2019-03-03
241,Alice Johnson,Designer,119556.0,2016-02-16
242,David Lee,Manager,114879.0,2022-03-15
243,Alice Johnson,Sales,92661.0,2018-01-25
244,Bob Smith,HR,39455.0,2017-09-02
245,Alice Johnson,Developer,85470.0,2015-05-08
246,Charlie Brown,Manager,86925.0,2015-05-25
247,David Lee,Developer,101897.0,2019-08-29
248,David Lee,Sales,113966.0,2017-09-24
249,Charlie Brown,Manager,41227.0,2021-03-31
250,Bob Smith,Manager,44050.0,2015-03-30
251,Eva Green,Sales,83350.0,2016-05-16
252,Charlie Brown,Developer,57309.0,2019-10-29
253,Charlie Brown,Manager,53938.0,2020-01-26
254,Alice Johnson,HR,92558.0,2016-08-17
255,Eva Green,HR,72495.0,2022-10-09
256,Eva Green,Manager,101424.0,2017-09-11
257,Alice Johnson,HR,112473.0,2018-08-08
258,David Lee,Manager,62520.0,2017-04-29
259,Charlie Brown,Developer,113993.0,2018-07-12
260,David Lee,Designer,60254.0,2022-12-14
261,Alice Johnson,Developer,48152.0,2015-01-18
262,David Lee,Developer,45401.0,2018-06-26
263,David Lee,HR,113723.0,2018-07-30
264,Eva Green,Designer,53975.0,2019-09-07
265,Charlie Brown,HR,110042.0,2018-01-11
266,Charlie Brown,Sales,111346.0,2020-12-15
267,Alice Johnson,HR,85922.0,2022-06-15
268,Eva Green,Designer,79303.0,2017-10-05
269,Alice Johnson,Designer,109936.0,2017-03-18
270,Alice Johnson,Developer,81899.0,2020-11-18
271,Bob Smith,Designer,75313.0,2021-05-11
272,Eva Green,Sales,111951.0,2020-05-23
273,Bob Smith,Designer,84503.0,2020-02-14
274,Bob Smith,Developer,82988.0,2019-03-08
275,Eva Green,Developer,96003.0,2021-01-05
276,Charlie Brown,Designer,40546.0,2021-11-26
277,Bob Smith,Manager,84354.0,2022-03-02
278,Charlie Brown,Sales,72411.0,2021-03-06
279,Alice Johnson,Designer,39593.0,2015-06-05
280,Charlie Brown,Sales,56805.0,2020-12-17
281,David Lee,Designer,86284.0,2020-01-11
282,Charlie Brown,Developer,59001.0,2019-06-04
283,Alice Johnson,HR,95112.0,2017-12-19
284,Charlie Brown,Sales,112052.0,2016-11-20
285,Bob Smith,Developer,42680.0,2016-10-31
286,Alice Johnson,Designer,103712.0,2021-01-04
287,Bob Smith,Designer,99790.0,2017-11-29
288,Eva Green,Sales,39005.0,2017-08-01
289,Charlie Brown,Manager,50273.0,2020-05-11
290,Eva Green,Sales,67746.0,2021-07-31
291,David Lee,HR,46418.0,2017-04-13
292,Charlie Brown,Designer,47268.0,2019-10-06
293,Bob Smith,Manager,93514.0,2016-03-19
294,Charlie Brown,Sales,104555.0,2019-10-26
295,Charlie Brown,Designer,88222.0,2019-12-16
296,Eva Green,Sales,113854.0,2016-05-27
297,Eva Green,HR,92461.0,2022-11-26
298,Eva Green,Designer,94481.0,2015-02-17
299,Eva Green,HR,55374.0,2019-12-01
300,David Lee,Designer,114013.0,2020-12-24
301,Eva Green,Manager,80917.0,2016-09-25
302,Bob Smith,Designer,80198.0,2022-04-16
303,David Lee,HR,39740.0,2017-01-20
304,Charlie Brown,Developer,97547.0,2016-05-27
305,Eva Green,HR,60592.0,2018-05-21
306,Alice Johnson,Designer,62623.0,2015-04-02
307,Charlie Brown,Sales,92400.0,2018-09-22
308,Charlie Brown,Manager,101842.0,2015-08-10
309,Charlie Brown,Designer,97333.0,2019-02-23
310,David Lee,Developer,51017.0,2019-03-25
311,Alice Johnson,HR,115969.0,2017-07-25
312,Eva Green,Developer,87958.0,2022-10-23
313,Bob Smith,Designer,63307.0,2020-12-01
314,David Lee,HR,45318.0,2015-12-14
315,Bob Smith,Designer,86050.0,2017-01-08
316,Eva Green,HR,88889.0,2022-02-20
317,Alice Johnson,Manager,97649.0,2018-11-29
318,Charlie Brown,Manager,90185.0,2015-01-02
319,Bob Smith,Sales,76235.0,2016-07-27
320,Bob Smith,Manager,65437.0,2020-07-03
321,Eva Green,Sales,81841.0,2021-06-28
322,Eva Green,Manager,118484.0,2019-11-07
323,Charlie Brown,HR,42641.0,2017-02-18
324,Charlie Brown,Sales,43755.0,2015-05-10
325,Bob Smith,Manager,71580.0,2021-03-02
326,David Lee,HR,64356.0,2016-06-01
327,Bob Smith,HR,114997.0,2017-10-09
328,Alice Johnson,Designer,77563.0,2018-05-04
329,Bob Smith,Developer,90105.0,2015-10-26
330,Alice Johnson,Developer,37534.0,2015-10-09
331,Charlie Brown,HR,35360.0,2018-02-03
332,Eva Green,HR,80391.0,2015-07-03
333,Eva Green,Sales,71084.0,2022-05-18
334,David Lee,Designer,112295.0,2018-07-18
335,Charlie Brown,Developer,46028.0,2019-10-11
336,Charlie Brown,Developer,48531.0,2016-07-27
337,Alice Johnson,Sales,91762.0,2021-03-26
338,Eva Green,HR,38255.0,2022-05-23
339,David Lee,HR,52026.0,2017-08-03
340,Bob Smith,Designer,37124.0,2017-04-29
341,Eva Green,Developer,84527.0,2020-06-15
342,David Lee,HR,93776.0,2015-02-18
343,Charlie Brown,HR,119442.0,2020-02-01
344,Eva Green,HR,65601.0,2016-11-15
345,David Lee,HR,110268.0,2020-10-28
346,Charlie Brown,Sales,56922.0,2021-12-31
347,David Lee,Manager,61807.0,2022-03-11
348,Eva Green,Developer,98458.0,2019-09-25
349,Bob Smith,Designer,83014.0,2017-03-31
350,Alice Johnson,Sales,65842.0,2016-11-10
351,Alice Johnson,HR,61193.0,2020-05-17
352,Alice Johnson,HR,63087.0,2017-08-15
353,Bob Smith,HR,42081.0,2022-09-05
354,Alice Johnson,Designer,38013.0,2017-12-22
355,David Lee,HR,112978.0,2016-08-15
356,Bob Smith,Designer,88694.0,2021-03-30
357,Charlie Brown,HR,70147.0,2021-05-07
358,David Lee,Designer,50730.0,2020-07-30
359,David Lee,Sales,48058.0,2017-11-11
360,Charlie Brown,Developer,60000.0,2015-01-01
361,Eva Green,HR,85199.0,2019-10-10
362,David Lee,Developer,70812.0,2015-02-20
363,Eva Green,HR,36278.0,2021-12-06
364,David Lee,Manager,62675.0,2015-01-09
365,Charlie Brown,Designer,91082.0,2019-03-04
366,Charlie Brown,Designer,114800.0,2019-01-14
367,David Lee,Developer,119934.0,2015-03-05
368,Eva Green,Manager,96543.0,2018-08-24
369,Bob Smith,HR,115486.0,2021-01-07
370,Eva Green,Sales,90509.0,2015-08-08
371,Alice Johnson,HR,44224.0,2018-11-24
