StudentID,Name,Major,GPA,EnrollmentDate
100000,Budi,Law,,2021-07-01
100001,Dina,Engineering,3.91,2021-08-30
100002,Dina,Computer Science,3.36,2018-02-20
100003,Cici,Law,2.15,2019-07-01
100004,Budi,Law,2.69,2022-02-28
100005,Budi,Business,3.46,2019-11-23
100006,Budi,Business,2.42,2022-06-17
100007,Dina,Computer Science,2.74,2018-12-08
100008,Budi,Business,3.66,2021-08-27
100009,Dina,Computer Science,2.81,2019-11-20
100010,Dina,Business,2.3,2021-04-06
100011,Ari,Law,2.83,2022-04-14
100012,Budi,Law,3.39,2019-07-13
100013,Budi,Engineering,2.38,2021-12-02
100014,Eka,Engineering,3.8,2021-03-14
100015,Budi,Computer Science,3.69,2022-10-02
100016,Eka,Computer Science,3.35,2022-11-26
100017,Eka,Engineering,2.31,2022-08-06
100018,Cici,Computer Science,3.88,2022-07-25
100019,Dina,Engineering,3.18,2020-10-15
100020,Eka,Engineering,3.06,2018-05-07
100021,Budi,Law,2.62,2018-05-14
100022,Eka,Law,3.47,2022-04-29
100023,Ari,Engineering,3.68,2021-05-03
100024,Cici,Engineering,2.79,2022-08-25
100025,Budi,Engineering,3.5,2021-12-31
100026,Cici,Business,2.07,2021-12-16
100027,Cici,Engineering,2.08,2018-02-10
100028,Budi,Computer Science,3.85,2018-12-09
100029,Cici,Engineering,2.5,2018-04-24
100030,Budi,Computer Science,2.88,2021-11-04
100031,Budi,Business,3.11,2020-06-30
100032,Budi,Law,2.77,2018-03-28
100033,Dina,Business,3.55,2022-06-02
100034,Eka,Computer Science,3.76,2019-10-29
100035,Dina,Law,3.31,2020-11-13
100036,Cici,Computer Science,2.13,2019-07-02
100037,Dina,Computer Science,3.38,2019-02-01
100038,Eka,Engineering,3.79,2020-01-03
100039,Ari,Computer Science,2.2,2018-04-08
100040,Eka,Business,3.39,2019-11-29
100041,Eka,Law,3.93,2019-01-24
100042,Dina,Computer Science,2.23,2019-07-06
100043,Budi,Computer Science,3.55,2020-11-13
100044,Eka,Computer Science,3.03,2022-01-18
100045,Ari,Engineering,2.1,2021-04-16
100046,Eka,Computer Science,3.42,2018-01-28
100047,Budi,Business,2.19,2020-09-06
100048,Cici,Computer Science,2.54,2020-07-17
100049,Ari,Business,3.83,2021-11-24
100050,Cici,Computer Science,2.48,2021-12-19
100051,Ari,Computer Science,3.86,2020-01-30
100052,Eka,Computer Science,3.36,2021-05-04
100053,Eka,Computer Science,3.4,2022-01-15
100054,Eka,Business,3.55,2020-03-15
100055,Cici,Business,3.81,2020-04-11
100056,Ari,Computer Science,3.92,2020-10-03
100057,Ari,Computer Science,2.39,2019-02-13
100058,Dina,Law,3.78,2022-03-07
100059,Ari,Engineering,2.56,2020-10-21
100060,Budi,Business,2.5,2018-03-25
100061,Dina,Law,2.79,2021-08-05
100062,Dina,Business,2.62,2022-08-11
100063,Dina,Business,2.54,2019-07-08
100064,Eka,Computer Science,2.2,2018-01-13
100065,Ari,Computer Science,3.08,2022-04-30
100066,Budi,Engineering,3.06,2021-07-22
100067,Eka,Business,3.64,2021-03-21
100068,Dina,Business,2.44,2020-07-01
100069,Eka,Computer Science,3.45,2019-06-11
100070,Cici,Business,3.9,2022-02-09
100071,Ari,Engineering,2.48,2022-07-03
100072,Cici,Law,3.89,2020-05-05
100073,Ari,Computer Science,3.96,2021-10-23
100074,Cici,Engineering,2.11,2019-11-25
100075,Eka,Computer Science,2.2,2020-05-15
100076,Budi,Computer Science,2.87,2022-09-28
100077,Ari,Law,3.44,2018-12-03
100078,Dina,Computer Science,3.32,2020-06-11
100079,Budi,Law,3.59,2020-04-04
100080,Cici,Computer Science,3.13,2018-10-03
100081,Ari,Business,3.07,2019-02-18
100082,Eka,Law,3.25,2019-06-09
100083,Ari,Business,2.41,2018-03-09
100084,Ari,Computer Science,3.31,2021-09-06
100085,Ari,Engineering,3.74,2022-09-23
100086,Eka,Business,3.35,2020-09-16
100087,Dina,Engineering,3.42,2022-08-21
100088,Cici,Law,2.8,2022-05-07
100089,Cici,Business,2.39,2020-08-09
100090,Ari,Computer Science,3.65,2020-03-11
